data,meta_data
"{'badges': [{'label': 'Balkon', 'value': 'BALCONY'}, {'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6321c64e8af7eaf4cb4cf892', 'links': {'targetURL': '/expose/6321c64e8af7eaf4cb4cf892'}, 'priceKeyFacts': [{'value': '1.449 €', 'label': None}], 'mainKeyFacts': [{'value': '3', 'label': 'Zimmer'}, {'value': '81,05 m²', 'label': 'Fläche'}, {'value': '2', 'label': 'Etage'}]}","{'full_address': '1230 Wien', 'description': '/ WOHNEN BEIM LIESINGBACH / ERSTBEZUG / AB SOFORT VERFÜGBAR / 1 MIETFREIER MONAT / MODERNE AUSSTATTUNG', 'devproject_link': 'http://www.immobilienscout24.at/expose/62cb44dbeac5f1a9627ef0df', 'contact': 'Linda Schmidtberger', 'company': 'DECUS Immobilien GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.24058222770690918, 'depth': 0}"
"{'badges': [{'label': 'Garten', 'value': 'GARDEN'}, {'label': 'Terrasse', 'value': 'TERRACE'}, {'label': 'Parkplatz', 'value': 'PARKING_BASEMENT_GARAGE'}], 'exposeId': '6321c64e8af7eaf4cb4cf8a1', 'links': {'targetURL': '/expose/6321c64e8af7eaf4cb4cf8a1'}, 'priceKeyFacts': [{'value': '849 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '48,82 m²', 'label': 'Fläche'}, {'value': '1', 'label': 'Etage'}]}","{'full_address': '1230 Wien', 'description': '/ WOHNEN BEIM LIESINGBACH / ERSTBEZUG / AB SOFORT VERFÜGBAR / 1 MIETFREIER MONAT / MODERNE AUSSTATTUNG', 'devproject_link': 'http://www.immobilienscout24.at/expose/62cb44dbeac5f1a9627ef0df', 'contact': 'Linda Schmidtberger', 'company': 'DECUS Immobilien GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.24058222770690918, 'depth': 0}"
"{'badges': [{'label': 'Garten', 'value': 'GARDEN'}, {'label': 'Terrasse', 'value': 'TERRACE'}, {'label': 'Parkplatz', 'value': 'PARKING_BASEMENT_GARAGE'}], 'exposeId': '6321c64ffec70ba71df94647', 'links': {'targetURL': '/expose/6321c64ffec70ba71df94647'}, 'priceKeyFacts': [{'value': '849 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '48,82 m²', 'label': 'Fläche'}, {'value': '1', 'label': 'Etage'}]}","{'full_address': '1230 Wien', 'description': '/ WOHNEN BEIM LIESINGBACH / ERSTBEZUG / AB SOFORT VERFÜGBAR / 1 MIETFREIER MONAT / MODERNE AUSSTATTUNG', 'devproject_link': 'http://www.immobilienscout24.at/expose/62cb44dbeac5f1a9627ef0df', 'contact': 'Linda Schmidtberger', 'company': 'DECUS Immobilien GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.24058222770690918, 'depth': 0}"
"{'badges': [{'label': 'Balkon', 'value': 'BALCONY'}, {'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6321c64efec70ba71df94640', 'links': {'targetURL': '/expose/6321c64efec70ba71df94640'}, 'priceKeyFacts': [{'value': '1.449 €', 'label': None}], 'mainKeyFacts': [{'value': '3', 'label': 'Zimmer'}, {'value': '81,05 m²', 'label': 'Fläche'}, {'value': '2', 'label': 'Etage'}]}","{'full_address': '1230 Wien', 'description': '/ WOHNEN BEIM LIESINGBACH / ERSTBEZUG / AB SOFORT VERFÜGBAR / 1 MIETFREIER MONAT / MODERNE AUSSTATTUNG', 'devproject_link': 'http://www.immobilienscout24.at/expose/62cb44dbeac5f1a9627ef0df', 'contact': 'Linda Schmidtberger', 'company': 'DECUS Immobilien GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.24058222770690918, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c1703e34a9001d4d1cbc', 'links': {'targetURL': '/expose/6107c1703e34a9001d4d1cbc'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '44 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c16f3e34a9001d4d1cb6', 'links': {'targetURL': '/expose/6107c16f3e34a9001d4d1cb6'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '45 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c170a909aa001b176a83', 'links': {'targetURL': '/expose/6107c170a909aa001b176a83'}, 'priceKeyFacts': [{'value': '799 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '47 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c170a909aa001b176a8b', 'links': {'targetURL': '/expose/6107c170a909aa001b176a8b'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '44 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c1713e34a9001d4d1ccc', 'links': {'targetURL': '/expose/6107c1713e34a9001d4d1ccc'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '46 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c171a909aa001b176a8f', 'links': {'targetURL': '/expose/6107c171a909aa001b176a8f'}, 'priceKeyFacts': [{'value': '750 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '50 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c171a909aa001b176a99', 'links': {'targetURL': '/expose/6107c171a909aa001b176a99'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '46 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c1713e34a9001d4d1cd5', 'links': {'targetURL': '/expose/6107c1713e34a9001d4d1cd5'}, 'priceKeyFacts': [{'value': '750 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '50 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
