full_address,description,rooms,area,price,labels,property_link,contact,company
"Leopoldauer Straße, 1210 Wien",| LEO 131 | NEUBAUPROJEKT | IN AUSGEZEICHNETER LAGE | NAHE THERESA-TAUSCHER-PARK,1 – 3,"41,9 – 79,84 m²","from 698,99 €","DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62cb3c57eac5f1a9627ed282,Jasmin Heida,DECUS Immobilien GmbH
"Handelskai 98-100, 1200 Wien",AM DONAUKAI – EIN WOHNJUWEL AM WASSER – PROVISIONSFREIER NEUBAUTRAUM! - JETZT ZUSCHLAGEN,1 – 2,"33,83 – 58,55 m²",from 679 €,"DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62d6563f1ece5c725d1e12ab,Julian Kukacka,teamneunzehn-Gruppe
"Leopoldauer Straße 70-72, 1210 Wien",**SOMMERAKTION!** 1 Monat Mietfrei EXKLUSIVER ERSTBEZUG – VIELE EXTRAS ZUM WOHLFÜHLEN – FREIFLÄCHEN – INKLUSIVE KÜCHE - JETZT ANFRAGEN,1 – 3,"39,49 – 85,75 m²","from 718,72 €","DEVELOPER_LISTING,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62f51ffd84c406f2f26c1b95,Kevin Gödel,teamneunzehn-Gruppe
1210 Wien,PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE,2 – 2,43 – 50 m²,from 749 €,"DEVELOPER_LISTING,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601,Vivienne Spicak,IMV Makler GmbH
"Spallartgasse 21-23, 1140 Wien",THEO´s – Willkommen im Park – Spallart 21-23,1 – 3,"33,66 – 66,18 m²","from 586,03 €","DEVELOPER_LISTING,BALCONY",http://www.immobilienscout24.at/expose/630e2c7f6650ea9b437a1a37,Nikola Todorovic,teamneunzehn-Gruppe
"Baranygasse 7, 1220 Wien",BUWOG - Barany&amp;me - Work-Life Balance der besonderen Art - Mietwohnungen ** PROVISIONSFREI **,3 – 3,"85,83 – 85,83 m²","from 1.537,46 €","DEVELOPER_LISTING,BALCONY",http://www.immobilienscout24.at/expose/602136e14aed8d00219950be,"Nicole Friedrich, BA",BUWOG Group GmbH
1230 Wien,/ WOHNEN BEIM LIESINGBACH / ERSTBEZUG / AB SOFORT VERFÜGBAR / 1 MIETFREIER MONAT / MODERNE AUSSTATTUNG,2 – 3,"48,82 – 81,05 m²",from 849 €,"DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62cb44dbeac5f1a9627ef0df,Linda Schmidtberger,DECUS Immobilien GmbH
"Dresdner Straße 17-19, 1200 Wien",BRIGITTE NOW – moderner Neubau/Erstbezug Nähe U-Bahn,1 – 4,"33,58 – 99,98 m²",from 549 €,"DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62fc15a3c978661a4a8c6ca2,Paul Bichelhuber,teamneunzehn-Gruppe
"Leopoldauer Straße 131, 1210 Wien",PROVISIONSFREI - LEO 131 – HIER KÖNNEN SIE ERSCHWINGLICH UND HOCHWERTIG WOHNEN. - WOHNTRAUM,1 – 3,"38,31 – 79,44 m²","from 633,38 €","DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62e7f2f14b54e862e04b556e,Ihsan Poyraz,teamneunzehn-Gruppe
"Pragerstraße 105, 1210 Wien",Wohnen in der Pragerstraße,2 – 3,"45,49 – 84,67 m²",from 699 €,"DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE,REMOTE_VIEWING_AVAILABLE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/5e5d214965158600213fdab0,Patrick Briza,
